     x            y
  1819         3993
  2997         2537
  4123         3435
  3767          970
  1604          456
  3094          628
  2847         1069
  3050         2443
  4029         4053
  1258         2472
   995           92
  2861         2341
  2733         2387
   314         1295
  1609          128
  2305         2352
  2223         2531
  4143         1047
  1301         2667
  3425          587
  3329         1200
   362         4141
  3453            6
  2677         2025
  2516         3946
  2526         3850
  1998          988
  1284         2920
  3584         1344
  3401          712
  2735         2375
   880         1603
  2251         3099
  4035         2696
   584          306
  1810         4013
  3778         1831
  3354          497
   804          371
  1632          162
  2118          577
  2300          209
  2124          356
   669         1352
  3764         2311
  3582         3798
   942         3810
  3542           18
  1123         2515
  2634          712
  1907         2589
  3419         2525
  3676         2302
  2089         1187
  3319         3706
    10          272
   815          283
  2632          917
  3018          667
  2095          944
   210         1334
   721          528
   490         1092
  2003         1289
  2471          474
   195          203
  2508         2494
  2197         4055
  1193         3222
  3943         1615
  1337          167
  2510         1251
    24          249
    52         2024
   180          442
  3833         2211
  3949         3637
  1147         3697
   786          910
  1257          980
  2376          426
  3223         3990
  4158         1431
   109          133
  1484         3711
  2196          687
   663         3579
  2470         3162
   633         2625
  2068         1235
  3531         4043
   567         2110
  1580          724
  3740         1646
   377         3864
  1911         2483
  3577          559
  1320         2795
  3504         3254
  1404         3434
  2155         2780
  3394           99
  3545         2710
  3499         1239
  3388          544
  3228         1929
   212          263
  1605         4033
  3147         2286
   652         2888
  2748         1346
  3445         3618
   234           75
  1550         1569
   646         3392
  2223         2560
   541         2768
     3           43
   850         3115
  2140         3545
  3789         3732
  1673         2248
  3421         1480
  2258         4082
  2558         1757
  1729          775
  1864         1834
  2997         1190
  3185          657
   330         1166
  3686         2120
  2465         1573
  2415          412
   714          716
  3835         3251
   204          582
  1194         1107
  2674         1208
  2526         2111
  2153         1224
  1691         2142
   687         2123
   952         1432
   170         2112
   920         2607
  1127         1145
  1707         2959
  1734         2790
   124         1868
    30          398
   915         1972
  2804         1277
  1203         2684
  2828         1518
   967         2328
  1311         2205
  1184          393
  1120         2345
  2789         1419
  1176         1487
  1251          434
  1695         1622
  2676         2627
  1580          460
  1359          618
  1643         1335
  1155           53
   506          291
  2292          692
   315         1399
    10         1170
  1094          940
  1908          955
   494         2938
   828         1094
   562         2329
  2022         1530
   827          899
  1265         1898
  1166         1036
  2651         1620
  1077         2726
  1868         2191
  2090         1181
   890         1703
  1574          417
  2778          987
  2189         1855
  1261         1434
  1832         2072
   559          400
   625         2624
  2543          175
  1838          914
  2043         1376
   623         1551
  1273         1407
  2150         2263
  2732         1094
  2299          975
  2086         1888
  1542          530
  1447         2592
  1122          928
  1058         1600
   500         2940
  1984         1682
  1833         2133
  2529         1578
  1625         1151
  1752         2650
  2574         2771
  2842          619
  2948          211
  1545         2727
   497          619
  2016          886
  1136          361
  1272         2113
  2094         1645
  2353         1639
  1987         1745
  2965         1131
  2581         1728
  2023         2921
  2034          119
  2294         2278
  2784          261
  1647         1628
  2506         1289
   267         2302
  1897         2837
  1149         1280
  1366          702
  2153          521
   535         2791
  1892         2260
  1844          499
   821         1397
   864         2571
  1668          268
   206         2697
   481         1347
   905         2957
  2777           80
   915         1679
  2814         2081
  1741         1777
  1863         2486
  2394         2773
  1163         1147
  1366         1332
  2068          554
  1660         2081
  2257          833
   795            3
  2486         1175
  1093         2618
  1115          794
    69          769
  1513         1052
  2643          154
  2835         2777
   787         1222
  1150          615
   219         1972
  1881         1349
  2596         1848
   801         2366
  1820         1162
   780         1822
  1777         2868
  1797         2610
  1086         1817
   796          177
    74         1959
   335         2833
   419         1391
  1123         1025
   232         2559
   552          648
  1099         2333
   644         2489
  2267         1118
  1664         2811
  1599         1554
   975         2772
  1630         1522
   899         1517
   651         2551
  2890          264
  2383          195
   873          421
  2196         2781
  2912         1871
  1563          957
  2886         1933
  2723          227
  2811          924
  2659         2680
  2856           97
    31         2262
   253         1105
   473         2350
   804         1785
   962         2649
  2458          409
   841         1441
  2457         2659
  1698          377
  2705         1116
  2403         1673
  2801         1470
  1633          331
   679         2404
  2365          169
  2905          493
  1414         2500
  2572         2898
  1712         1118
  2545         2804
  2094         1190
   865         2798
  2113         2843
   522          909
  2664         1889
  2190          799
  1624         2033
  2583         1259
  2628         1196
  2765         2851
   493         1582
  2826          831
  2873         2631
  2269         1500
  1200          328
  2311         1467
  2389         1452
  1438         2877
  2615         1283
  1556          807
  1231         1058
  1224          324
   203          387
  2556         2758
  2258         1713
  2228         1348
  1839          543
  2494          208
  1301         1891
  2438          460
  2461          173
  2284          345
   369         2459
   456         1438
  2024         2720
   633         1051
  1651         2834
  1423         2756
  2706         1699
   511         2435
   967         2523
  2435         1222
  1142         2175
   766         1679
  1946         1414
   544          772
   840          700
   312         1270
   687          431
   259         1904
  2348         1161
   939         2047
  2527           75
   722         1949
  1208         1457
  2731         2702
  1341         1225
  2946         2312
   500         2296
  1038         2428
   410         2717
   654         2000
   618         2005
  2244          245
   503         2920
     6         2409
  1639         2211
  2734          835
   759         1383
  1859         2504
  2091          519
     0           12
    29         2964
  2293         2722
  1059          237
  2044         2815
   505         2956
   344          456
  2755         2880
  2115         2199
  1068          390
  1319          580
   860         2297
   965         1619
   920         1467
  1730         2691
   109         1439
  1439         2915
  1105         2944
   287          918
  2735          717
  1616         2066
  1758         2152
  2849         1891
  2158         2689
  1226         2057
  1500          353
   202         2559
   729         1977
   153          388
  1830         2149
   114         2806
  2358         2299
   704         1753
  2520         2635
   852         2325
  2929         2403
   844          623
  1198         1757
  2080         1808
  2853         2344
  1006         1449
   687         1567
   794         1984
   320         2781
   446         2966
  1557          317
   335         1261
  1449         1476
  2316         2138
   267          135
  2773         1600
   499          274
  2287         1394
  2758         1491
  2467         2332
  1648         1314
  2081          440
  1032          169
  1235         2723
  2530          716
  2469         1878
   862         2933
   135          206
  2431          625
  2534         2399
  2043         1099
  1738          479
   354         1010
  2241         2160
  1557            5
  1928          344
  2311          128
  1750         1393
   821         1158
  2371          572
  2522         1736
  2156         2274
   206         2314
   966          267
  1202         1721
   457         2907
   198          309
  2694         2622
   917         2693
   909          473
  2194         2628
   559         2377
   966         2780
  1536         2042
   301          699
  1977         1013
  1421          570
  2223          502
   468         2493
  1378          387
   297          318
  2326         2895
     4           76
  1136         2565
   281          963
  2577          826
  2331          945
   803         2278
  2013         2612
  2185         1162
  2966           55
  1797         2944
  1151          170
  2936          845
  2461          693
  2405         1473
  1729         1795
  2911         1808
  1057         1744
    30         2394
  1131         2717
   633          169
  2837          232
  1803         2423
   605         2327
  2529         2500
   720          714
  1610         1024
  2114         2679
    38         2503
  2847         1657
  2793         1015
  2351          367
  2583         1630
   113         2116
  2238         1698
   554          860
   236         2560
   679         1868
  2723         2018
    26          276
  2133         2704
  2690         1880
    91         1887
  1203          320
  1986         1411
   177         1066
  1483         1504
  2870           90
   999          926
   896         1485
  2376         2074
  2551         2301
  1280          121
   992         1179
   208         1148
  2591          698
  2542         1660
   990         2916
  2893         2640
  2094          266
  2126         1419
   746         1107
   819          391
  1255          376
   765         1533
  1375         1518
  1950         1957
  1075          484
  1115         1975
  1746         2310
    42         1084
  1774           73
  2658         1517
  1348          308
  2109          527
  2938         1198
  2629         1399
  2328         2458
  2137         1303
  1304          480
   902         1710
   659         1056
  1449         1718
  2968         1286
  1249          838
  1621           48
  2030         2835
  2315         1738
  1785          141
  1714         1952
   989         2231
  2585         2786
   909          628
  1278          903
  1468         1840
   215         2392
   866         2155
  2909          304
   358         2555
  2686          269
  1384         1807
   657         2524
   764         1303
  1541          349
  1532         2627
  2293         1150
  2363          652
   297          933
  1781          442
   189         1815
  2412         2062
   686         1483
  1140         2734
  1789         1545
  1542          997
  2322         1842
  1623          824
  2323          306
    71         2647
   230         2817
  1883         1864
  1374         1441
  2112           55
  1348         1011
  1267         1623
  1520          866
  2803         2007
  2791          955
  2198         1093
  2871         2898
  1773         2165
   614         1708
  1096         1797
  1020         1689
   254         2830
  2343          147
  1260         2353
   979         1975
  1050         1374
  2576         2190
  1117         2295
   343         1564
   302         2201
  2355         1615
   757          206
   931         1755
  1184         1659
  2685         2143
